id,title,userID,length,total_activities
0,Μάθημα 2ο τελικό,1735,11,11
1,MOVES_1,1743,3,3
2,moodle assessment,3107,9,9
3,Αισθητήρες Arduino,1630,8,8
4,Road Safety LAMS,7187,7,7
5,Test_MHTRIKH_Papathanasiou,694,2,2
6,Friends,277,12,15
7,Epoxes_neo,1668,4,4
8,Probability Recap,7567,5,14
9,Η Άλωση της Τριπολιτσάς- Πολυδώρου Αγγελική,50,5,5
10,Learning to Learn,9,7,7
11,ΠΛΗΡΟΦΟΡΙΚΗ Γ ΓΥΜ 1.4 Υλοποίηση αλγορίθμού με ΗΥ - Προγραμματισμός v2,11,12,14
12,ΤΕΛΙΚΗ ΕΡΓΑΣΙΑ- Κυκλοφορικό σύστημα- ΚΑΡΑΓΙΑΝΝΗ,1512,11,11
13,Διαδίκτυο Α γυμνασίου,1071,5,5
14,Informatics_role_play_Template,7891,15,19
15,APPLICATIONS VR,13205,28,31
16,Πυθαγορειο,1604,3,3
17,Neuroscience - spinal cord injury FINAL,1033,30,32
18,How Good Are Sample Statistics,441,6,6
19,wonderful weather,5129,23,25
20,Ask2_2_Bouyias,1611,4,4
21,Aξιοποίηση έργων τέχνης στην εκπαίδευση 2017 v2,17473,29,31
22,Η γλώσσα Pascal,1417,9,9
23,AGX_Diktya_Ypologistikwn_Systhmatwn,7280,15,15
24,LAMS,1,22,30
25,PDHPE LAMS,6184,17,20
26,think-pair-share,8226,9,13
27,Excel-functions,88,6,6
28,Ενότητα Εγκέφαλος 1ο Μάθημα Γνωριμία με τον ανθρώπινο εγκέφαλο,1803,7,7
29,LALI-274 CALL Lecture 2,9,22,25
30,Creative writing lesson,6199,8,8
31,Λογικά Κυκλώματα,2006,4,4
32,Lesson 4,1,8,16
33,RV Solar System S3 2015,5465,13,20
34,hsie,3162,3,3
35,Οξέα,1481,3,3
36,Yvette Cormack- Telling the Time!,4971,8,8
37,43281826 Battle of Actium,7278,12,14
38,if_elif2,1658,6,9
39,Pompeii and Herculaneum,4764,14,34
40,1st LAMS,6500,11,13
41,Probabilities_GLykeioy_Spanos_Ioannis,695,6,9
42,epik,7881,10,14
43,EDUC261-Chinese Lesson,7524,9,9
44,Lesson  - WWII,5374,8,8
45,Δημητρίου Θωμάς - Scratch,43,8,8
46,Είδη_Προγραμματισμού,37,6,9
47,Citizenship_20160326,1611,13,17
